*dataset: 
*location : F 4
*reackey: P P --> CHARGED X
*obskey: DATA/MC
*qual: RATIO : DATA/EPOS : DATA/PYTHIA : DATA/EPOS : DATA/PYTHIA  : 
*qual: ETARAP :  -0.8 - 0.8
*qual: RE: P P --> CHARGED X
*qual: SQRT(S) : 5020.0 GeV :  5020.0 GeV : 2760.0 GeV : 2760.0 GeV 
*yheader: DATA / MC 
*xheader: PT IN GEV
*data: x : y : y : y : y 
 0.15  TO 0.20 ; 0.960275 +- 2.1265e-04 (DSYS=3.1325e-02); 1.079561 +- 2.1383e-04 (DSYS=3.5216e-02); 1.037746 +- 3.2301e-04 (DSYS=7.0020e-02); 1.210568 +- 3.2542e-04 (DSYS=8.1681e-02);
 0.20  TO 0.25 ; 0.910255 +- 1.4706e-04 (DSYS=2.2665e-02); 0.979016 +- 1.4836e-04 (DSYS=2.4378e-02); 0.946451 +- 2.3588e-04 (DSYS=5.6985e-02); 1.060083 +- 2.3840e-04 (DSYS=6.3827e-02);
 0.25  TO 0.30 ; 0.877748 +- 1.4362e-04 (DSYS=1.9141e-02); 0.903944 +- 1.4469e-04 (DSYS=1.9712e-02); 0.910838 +- 2.3518e-04 (DSYS=4.6825e-02); 0.978205 +- 2.3723e-04 (DSYS=5.0288e-02);
 0.30  TO 0.35 ; 0.865611 +- 1.4564e-04 (DSYS=1.7747e-02); 0.855926 +- 1.4651e-04 (DSYS=1.7549e-02); 0.894037 +- 2.4149e-04 (DSYS=4.3150e-02); 0.921714 +- 2.4312e-04 (DSYS=4.4486e-02);
 0.35  TO 0.40 ; 0.863322 +- 1.5050e-04 (DSYS=1.5316e-02); 0.822870 +- 1.5118e-04 (DSYS=1.4599e-02); 0.887318 +- 2.5188e-04 (DSYS=4.0905e-02); 0.880056 +- 2.5313e-04 (DSYS=4.0570e-02);
 0.40  TO 0.45 ; 0.867525 +- 1.5795e-04 (DSYS=1.4295e-02); 0.799485 +- 1.5845e-04 (DSYS=1.3174e-02); 0.891560 +- 2.6598e-04 (DSYS=3.8591e-02); 0.852883 +- 2.6684e-04 (DSYS=3.6917e-02);
 0.45  TO 0.50 ; 0.870930 +- 1.7025e-04 (DSYS=1.4410e-02); 0.783893 +- 1.7061e-04 (DSYS=1.2970e-02); 0.895624 +- 2.8812e-04 (DSYS=3.7866e-02); 0.834364 +- 2.8868e-04 (DSYS=3.5276e-02);
 0.50  TO 0.55 ; 0.877674 +- 1.8625e-04 (DSYS=1.4205e-02); 0.776726 +- 1.8650e-04 (DSYS=1.2571e-02); 0.902780 +- 3.1643e-04 (DSYS=3.6299e-02); 0.824529 +- 3.1674e-04 (DSYS=3.3153e-02);
 0.55  TO 0.60 ; 0.889476 +- 2.0227e-04 (DSYS=1.3093e-02); 0.779142 +- 2.0246e-04 (DSYS=1.1469e-02); 0.912254 +- 3.4500e-04 (DSYS=3.6543e-02); 0.822912 +- 3.4514e-04 (DSYS=3.2964e-02);
 0.60  TO 0.65 ; 0.900429 +- 2.2038e-04 (DSYS=1.2849e-02); 0.786396 +- 2.2055e-04 (DSYS=1.1222e-02); 0.922185 +- 3.7698e-04 (DSYS=3.5202e-02); 0.827881 +- 3.7706e-04 (DSYS=3.1603e-02);
 0.65  TO 0.70 ; 0.912450 +- 2.4061e-04 (DSYS=1.2423e-02); 0.799967 +- 2.4082e-04 (DSYS=1.0892e-02); 0.937176 +- 4.1240e-04 (DSYS=3.4968e-02); 0.843803 +- 4.1253e-04 (DSYS=3.1484e-02);
 0.70  TO 0.75 ; 0.924806 +- 2.6051e-04 (DSYS=1.2312e-02); 0.817595 +- 2.6082e-04 (DSYS=1.0884e-02); 0.950938 +- 4.4741e-04 (DSYS=3.6978e-02); 0.863085 +- 4.4769e-04 (DSYS=3.3562e-02);
 0.75  TO 0.80 ; 0.936888 +- 2.8173e-04 (DSYS=1.2929e-02); 0.837799 +- 2.8217e-04 (DSYS=1.1562e-02); 0.965447 +- 4.8442e-04 (DSYS=3.7422e-02); 0.886682 +- 4.8495e-04 (DSYS=3.4369e-02);
 0.80  TO 0.85 ; 0.949786 +- 3.0392e-04 (DSYS=1.3045e-02); 0.860406 +- 3.0453e-04 (DSYS=1.1817e-02); 0.978189 +- 5.2399e-04 (DSYS=3.8129e-02); 0.911324 +- 5.2486e-04 (DSYS=3.5523e-02);
 0.85  TO 0.90 ; 0.962031 +- 3.2720e-04 (DSYS=1.3437e-02); 0.883513 +- 3.2801e-04 (DSYS=1.2340e-02); 0.990930 +- 5.6537e-04 (DSYS=4.1099e-02); 0.936772 +- 5.6663e-04 (DSYS=3.8853e-02);
 0.90  TO 0.95 ; 0.974786 +- 3.5138e-04 (DSYS=1.4038e-02); 0.906513 +- 3.5239e-04 (DSYS=1.3055e-02); 1.002274 +- 6.0866e-04 (DSYS=4.4878e-02); 0.961335 +- 6.1035e-04 (DSYS=4.3045e-02);
 0.95  TO 1.00 ; 0.985561 +- 3.7396e-04 (DSYS=1.2556e-02); 0.926074 +- 3.7517e-04 (DSYS=1.1798e-02); 1.011165 +- 6.4924e-04 (DSYS=4.1519e-02); 0.982275 +- 6.5140e-04 (DSYS=4.0333e-02);
